seed,exito,tiempo,nodos_explorados
0,1,0.000335693359375,118
1,1,0.0017940998077392578,362
2,1,0.0028700828552246094,876
3,1,0.0005297660827636719,185
4,1,0.0006463527679443359,185
5,1,0.00010395050048828125,40
6,1,0.0004627704620361328,195
7,1,0.0003142356872558594,127
8,1,0.0005233287811279297,185
9,1,0.000743865966796875,317
10,1,0.0020818710327148438,876
11,1,0.0010805130004882812,317
12,1,0.0010187625885009766,317
13,1,9.131431579589844e-05,40
14,1,0.00048470497131347656,195
15,1,0.0005192756652832031,185
16,1,0.00028514862060546875,127
17,1,0.00024247169494628906,118
18,1,0.0007936954498291016,362
19,1,0.0018510818481445312,876
20,1,0.0007698535919189453,362
21,1,0.0009174346923828125,362
22,1,0.0008068084716796875,362
23,1,7.915496826171875e-05,40
24,1,0.00023436546325683594,118
25,1,0.0002574920654296875,118
26,1,0.0007371902465820312,185
27,1,0.0011439323425292969,317
28,1,0.000827789306640625,195
29,1,0.0009489059448242188,195
