seed,exito,tiempo,nodos_explorados
0,1,0.0851132869720459,19817
1,1,0.21116304397583008,56278
2,1,0.07771563529968262,19817
3,1,0.02434229850769043,6987
4,1,0.02431797981262207,6987
5,1,0.19204211235046387,42021
6,1,0.06918811798095703,16788
7,1,0.03549528121948242,8575
8,1,0.024753808975219727,6987
9,1,0.022063493728637695,5003
10,1,0.19188761711120605,42021
11,1,0.0213925838470459,5003
12,1,0.02153325080871582,5003
13,1,0.04648232460021973,12356
14,1,0.1746368408203125,46769
15,1,0.024172067642211914,6987
16,1,0.0347440242767334,8575
17,1,0.008101224899291992,1882
18,1,0.21144795417785645,56278
19,1,0.03587794303894043,8015
20,1,0.05168652534484863,13966
21,1,0.21155309677124023,56278
22,1,0.0517277717590332,13966
23,1,0.05184507369995117,13966
24,1,0.010612249374389648,2569
25,1,0.03102421760559082,7524
26,1,0.01055145263671875,2569
27,1,0.03596210479736328,8015
28,1,0.17505764961242676,46769
29,1,0.008169889450073242,1882
