seed,exito,tiempo,nodos_explorados
0,1,0.00039076805114746094,38
1,1,0.0002777576446533203,32
2,1,0.000507354736328125,63
3,1,0.00019288063049316406,22
4,1,0.00022077560424804688,26
5,1,0.00016927719116210938,17
6,1,0.00020813941955566406,24
7,1,0.00010609626770019531,10
8,1,0.00030684471130371094,39
9,1,0.00040531158447265625,50
10,1,0.00019168853759765625,22
11,1,0.000213623046875,25
12,1,0.00013303756713867188,15
13,1,0.0007278919219970703,93
14,1,0.0005044937133789062,62
15,1,0.00018858909606933594,21
16,1,0.00039315223693847656,49
17,1,0.000110626220703125,12
18,1,0.00011491775512695312,12
19,1,0.000812530517578125,105
20,1,0.00013637542724609375,15
21,1,0.0001499652862548828,16
22,1,0.00011968612670898438,13
23,1,0.0002796649932861328,35
24,1,9.775161743164062e-05,10
25,1,0.00025391578674316406,30
26,1,0.00020384788513183594,22
27,1,0.00014901161193847656,16
28,1,0.00022673606872558594,27
29,1,0.0001266002655029297,14
