seed,exito,tiempo,nodos_explorados
0,1,0.0044367313385009766,1092
1,1,0.033937692642211914,12484
2,1,0.00781702995300293,3066
3,1,0.023943185806274414,8763
4,1,0.023964881896972656,8763
5,1,0.012489557266235352,4221
6,1,0.012516021728515625,4221
7,1,0.003987312316894531,1465
8,1,0.024534940719604492,8763
9,1,0.0047647953033447266,1463
10,1,0.012850761413574219,4221
11,1,0.004557132720947266,1463
12,1,0.004521369934082031,1463
13,1,0.006311178207397461,2306
14,1,0.00853109359741211,3389
15,1,0.023942947387695312,8763
16,1,0.004022121429443359,1465
17,1,0.006782054901123047,2194
18,1,0.03582024574279785,12484
19,1,0.0007822513580322266,284
20,1,0.008006095886230469,3127
21,1,0.033794403076171875,12484
22,1,0.03425931930541992,12484
23,1,0.00635528564453125,2306
24,1,0.007967710494995117,3127
25,1,0.003253936767578125,1092
26,1,0.007946968078613281,3127
27,1,0.000762939453125,284
28,1,0.008541584014892578,3389
29,1,0.006753683090209961,2194
