seed,exito,tiempo,nodos_explorados
0,1,5.435943603515625e-05,43
1,1,1.5020370483398438e-05,9
2,1,2.3603439331054688e-05,26
3,1,1.0251998901367188e-05,9
4,1,8.821487426757812e-06,9
5,1,9.298324584960938e-06,8
6,1,1.9550323486328125e-05,26
7,1,8.344650268554688e-06,8
8,1,8.344650268554688e-06,9
9,1,2.9325485229492188e-05,43
10,1,1.8358230590820312e-05,26
11,1,2.9325485229492188e-05,43
12,1,2.765655517578125e-05,43
13,1,8.106231689453125e-06,8
14,1,1.7881393432617188e-05,26
15,1,8.106231689453125e-06,9
16,1,7.867813110351562e-06,8
17,1,2.7894973754882812e-05,43
18,1,7.867813110351562e-06,9
19,1,1.811981201171875e-05,26
20,1,8.821487426757812e-06,9
21,1,8.106231689453125e-06,9
22,1,8.106231689453125e-06,9
23,1,8.344650268554688e-06,8
24,1,2.7894973754882812e-05,43
25,1,2.7894973754882812e-05,43
26,1,8.344650268554688e-06,9
27,1,2.7894973754882812e-05,43
28,1,1.7404556274414062e-05,26
29,1,1.7404556274414062e-05,26
