seed,exito,tiempo,nodos_explorados
0,1,8.845329284667969e-05,7
1,1,3.2901763916015625e-05,4
2,1,4.744529724121094e-05,8
3,1,2.574920654296875e-05,4
4,1,2.574920654296875e-05,5
5,1,2.4557113647460938e-05,4
6,1,3.3855438232421875e-05,7
7,1,2.3603439331054688e-05,4
8,1,2.3603439331054688e-05,5
9,1,3.910064697265625e-05,8
10,1,3.147125244140625e-05,7
11,1,3.600120544433594e-05,8
12,1,3.0040740966796875e-05,7
13,1,2.384185791015625e-05,5
14,1,3.910064697265625e-05,8
15,1,2.1219253540039062e-05,4
16,1,2.4080276489257812e-05,5
17,1,3.123283386230469e-05,7
18,1,2.1696090698242188e-05,4
19,1,3.528594970703125e-05,8
20,1,2.4080276489257812e-05,5
21,1,2.4318695068359375e-05,5
22,1,2.1457672119140625e-05,4
23,1,2.1219253540039062e-05,4
24,1,3.719329833984375e-05,8
25,1,4.100799560546875e-05,8
26,1,2.2172927856445312e-05,4
27,1,3.3855438232421875e-05,8
28,1,3.647804260253906e-05,8
29,1,3.147125244140625e-05,7
