seed,exito,tiempo,nodos_explorados
0,1,0.0009982585906982422,31
1,1,0.00027060508728027344,8
2,1,0.0017104148864746094,75
3,1,0.0002541542053222656,8
4,1,0.00046563148498535156,20
5,1,0.0002560615539550781,8
6,1,0.00024366378784179688,8
7,1,0.0006482601165771484,28
8,1,0.0002903938293457031,11
9,1,0.0008196830749511719,36
10,1,0.0005822181701660156,25
11,1,0.0015404224395751953,80
12,1,0.0008034706115722656,30
13,1,0.00039458274841308594,19
14,1,0.0004851818084716797,22
15,1,0.00043773651123046875,21
16,1,0.00022339820861816406,8
17,1,0.0006256103515625,32
18,1,0.00028133392333984375,11
19,1,0.0005998611450195312,30
20,1,0.00022554397583007812,8
21,1,0.0002124309539794922,8
22,1,0.00020265579223632812,8
23,1,0.0005888938903808594,28
24,1,0.0005147457122802734,25
25,1,0.0003190040588378906,14
26,1,0.0003643035888671875,17
27,1,0.0007991790771484375,40
28,1,0.0003139972686767578,14
29,1,0.00039958953857421875,18
