seed,exito,tiempo,nodos_explorados
0,1,0.00022983551025390625,12
1,1,0.00015497207641601562,12
2,1,0.00019812583923339844,17
3,1,0.00033354759216308594,33
4,1,0.00022292137145996094,22
5,1,0.00014328956604003906,12
6,1,0.00023436546325683594,22
7,1,0.00014138221740722656,12
8,1,0.00013947486877441406,12
9,1,0.00013756752014160156,12
10,1,0.00019407272338867188,19
11,1,0.00048542022705078125,51
12,1,0.0004475116729736328,48
13,1,0.00015854835510253906,14
14,1,0.0026514530181884766,305
15,1,0.00015401840209960938,13
16,1,0.0002105236053466797,20
17,1,0.00019478797912597656,18
18,1,0.00014090538024902344,12
19,1,0.00016689300537109375,15
20,1,0.00041365623474121094,44
21,1,0.0005140304565429688,56
22,1,0.0006463527679443359,72
23,1,0.00014328956604003906,12
24,1,0.00014328956604003906,12
25,1,0.0002624988555908203,27
26,1,0.0002944469451904297,31
27,1,0.0001506805419921875,12
28,1,0.0002467632293701172,25
29,1,0.00037288665771484375,40
