algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
DFSL_50,91827364,884,0,0,0.0020055770874023438,False
DFSL_50,657483922,763,0,0,0.0017383098602294922,False
DFSL_50,1203948575,976,0,0,0.0022339820861816406,False
DFSL_50,847362911,883,0,0,0.0021245479583740234,False
DFSL_50,938475612,776,0,0,0.001699209213256836,False
DFSL_50,1230984752,418,0,0,0.0010235309600830078,False
DFSL_50,564738299,537,0,0,0.001230478286743164,False
DFSL_50,2039485792,398,0,0,0.0009424686431884766,False
DFSL_50,918273649,150,38,83,0.0007152557373046875,True
DFSL_50,1298374617,708,0,0,0.0015904903411865234,False
DFSL_50,283746590,411,0,0,0.0009756088256835938,False
DFSL_50,192837463,641,0,0,0.0014314651489257812,False
DFSL_50,374829102,584,0,0,0.0014297962188720703,False
DFSL_50,847362904,744,0,0,0.0016870498657226562,False
DFSL_50,1092837405,700,0,0,0.0015172958374023438,False
DFSL_50,65748390,796,0,0,0.001722097396850586,False
DFSL_50,12039485043,552,0,0,0.001201629638671875,False
DFSL_50,2039485702,1076,0,0,0.002566814422607422,False

DFSL_75,384927103,797,75,255,0.002431154251098633,True
DFSL_75,1298374658,1124,0,0,0.002716064453125,False
DFSL_75,298374658,617,0,0,0.0014400482177734375,False
DFSL_75,18273645131,1236,0,0,0.002758026123046875,False
DFSL_75,9384756122,898,0,0,0.0021114349365234375,False
DFSL_75,564738297,1502,0,0,0.0036623477935791016,False
DFSL_75,2039485762,506,0,0,0.0011754035949707031,False
DFSL_75,1092837464,383,0,0,0.0009284019470214844,False
DFSL_75,8473629109,1508,0,0,0.003731250762939453,False
DFSL_75,192837461,1298,51,105,0.0034046173095703125,True
DFSL_75,374829103,647,0,0,0.0015823841094970703,False
DFSL_75,2837465926,1210,0,0,0.0027892589569091797,False
DFSL_75,91827364,1282,0,0,0.0030066967010498047,False
DFSL_75,657483922,1410,0,0,0.003456592559814453,False
DFSL_75,1203948575,1631,0,0,0.0036847591400146484,False
DFSL_75,847362911,1606,0,0,0.003725767135620117,False
DFSL_75,938475612,1275,0,0,0.002994537353515625,False
DFSL_75,1230984752,662,0,0,0.0015406608581542969,False
DFSL_75,564738299,1027,0,0,0.0023741722106933594,False
DFSL_75,2039485792,976,0,0,0.0023925304412841797,False
DFSL_75,918273649,481,38,83,0.0015146732330322266,True
DFSL_75,1298374617,515,0,0,0.0013129711151123047,False
DFSL_75,283746590,564,0,0,0.0013499259948730469,False
DFSL_75,192837463,657,0,0,0.001512765884399414,False
DFSL_75,374829102,610,0,0,0.0014755725860595703,False
DFSL_75,847362904,1453,0,0,0.0032854080200195312,False
DFSL_75,1092837405,1132,0,0,0.002584218978881836,False
DFSL_75,65748390,1446,0,0,0.0033953189849853516,False
DFSL_75,12039485043,699,0,0,0.0016050338745117188,False
DFSL_75,2039485702,1221,0,0,0.0028111934661865234,False

DFSL_100,384927103,1673,0,0,0.006505727767944336,False
DFSL_100,1298374658,2014,0,0,0.004864215850830078,False
DFSL_100,298374658,1154,0,0,0.0029382705688476562,False
DFSL_100,18273645131,1799,0,0,0.004531383514404297,False
DFSL_100,9384756122,824,77,149,0.0026586055755615234,True
DFSL_100,564738297,2734,0,0,0.0065233707427978516,False
DFSL_100,2039485762,743,0,0,0.001758575439453125,False
DFSL_100,1092837464,605,0,0,0.0014007091522216797,False
DFSL_100,8473629109,1662,0,0,0.003987789154052734,False
DFSL_100,192837461,614,81,135,0.002088785171508789,True
DFSL_100,374829103,1055,0,0,0.0026543140411376953,False
DFSL_100,2837465926,2141,0,0,0.005109071731567383,False
DFSL_100,91827364,1007,0,0,0.002471923828125,False
DFSL_100,657483922,1431,0,0,0.003663301467895508,False
DFSL_100,1203948575,1924,0,0,0.004437446594238281,False
DFSL_100,847362911,1657,0,0,0.00391840934753418,False
DFSL_100,938475612,2586,0,0,0.005906820297241211,False
DFSL_100,1230984752,627,0,0,0.0015645027160644531,False
DFSL_100,564738299,2181,0,0,0.00502777099609375,False
DFSL_100,2039485792,1181,0,0,0.0027976036071777344,False
DFSL_100,918273649,339,38,83,0.0012619495391845703,True
DFSL_100,1298374617,1153,0,0,0.0028047561645507812,False
DFSL_100,283746590,564,0,0,0.0013606548309326172,False
DFSL_100,192837463,926,0,0,0.0023975372314453125,False
DFSL_100,374829102,993,0,0,0.0023345947265625,False
DFSL_100,847362904,1531,0,0,0.0037343502044677734,False
DFSL_100,1092837405,1841,0,0,0.004403829574584961,False
DFSL_100,65748390,2050,0,0,0.0049152374267578125,False
DFSL_100,12039485043,1502,0,0,0.003627300262451172,False
DFSL_100,2039485702,1778,0,0,0.004156351089477539,False

UCS,384927103,3190,57,219,0.012526988983154297,True
UCS,1298374658,4402,90,288,0.0180971622467041,True
UCS,298374658,7839,107,593,0.03086113929748535,True
UCS,18273645131,3778,31,238,0.014086246490478516,True
UCS,9384756122,1118,19,91,0.004450798034667969,True
UCS,564738297,1734,32,122,0.0066454410552978516,True
UCS,2039485762,7408,90,828,0.02960348129272461,True
UCS,1092837464,5099,95,581,0.019674301147460938,True
UCS,8473629109,8276,109,496,0.035834312438964844,True
UCS,192837461,597,9,63,0.002496480941772461,True
UCS,374829103,5724,91,577,0.02243328094482422,True
UCS,2837465926,755,29,74,0.003025531768798828,True
UCS,91827364,5861,42,384,0.022462844848632812,True
UCS,657483922,6306,70,466,0.024306535720825195,True
UCS,1203948575,1867,39,129,0.007440090179443359,True
UCS,847362911,2915,84,201,0.012115716934204102,True
UCS,938475612,1074,17,89,0.004174709320068359,True
UCS,1230984752,7419,78,447,0.030791282653808594,True
UCS,564738299,4079,38,272,0.0160520076751709,True
UCS,2039485792,2412,63,225,0.009670257568359375,True
UCS,918273649,108,20,29,0.0005614757537841797,True
UCS,1298374617,8035,70,466,0.03162240982055664,True
UCS,283746590,1121,35,116,0.004466533660888672,True
UCS,192837463,8395,73,676,0.033623695373535156,True
UCS,374829102,3196,99,225,0.013236522674560547,True
