algorithm_name,env_n,size,best_solution,H,states,time
aleatorio,9,10,"[7, 3, 6, 4, 9, 0, 5, 4, 2, 7]",4,101,0.0014753341674804688
aleatorio,10,10,"[0, 0, 7, 4, 9, 1, 8, 1, 2, 6]",4,101,0.0015113353729248047
aleatorio,11,10,"[4, 5, 3, 8, 4, 0, 1, 9, 1, 6]",5,101,0.001489400863647461
aleatorio,12,10,"[5, 2, 4, 1, 7, 9, 2, 4, 0, 3]",4,101,0.0014960765838623047
aleatorio,13,10,"[6, 4, 1, 8, 3, 6, 2, 9, 8, 0]",5,101,0.001501321792602539
aleatorio,14,10,"[8, 0, 3, 8, 6, 2, 0, 5, 5, 9]",4,101,0.0014998912811279297
aleatorio,15,10,"[0, 9, 4, 9, 7, 4, 8, 0, 6, 6]",6,101,0.0014834403991699219
aleatorio,16,10,"[3, 2, 6, 9, 4, 0, 1, 3, 5, 8]",4,101,0.0015041828155517578
aleatorio,17,10,"[1, 5, 2, 8, 3, 7, 4, 7, 1, 4]",4,101,0.0014977455139160156
aleatorio,18,10,"[5, 3, 6, 9, 8, 8, 0, 2, 1, 7]",4,101,0.0015096664428710938
aleatorio,19,10,"[4, 0, 9, 9, 3, 1, 3, 1, 8, 7]",5,101,0.0015134811401367188
aleatorio,20,10,"[2, 4, 1, 5, 9, 2, 0, 6, 6, 1]",6,101,0.0015940666198730469
aleatorio,21,10,"[2, 8, 7, 0, 3, 5, 2, 5, 9, 6]",4,101,0.0015048980712890625
aleatorio,22,10,"[9, 7, 4, 2, 0, 2, 9, 4, 8, 3]",4,101,0.0014879703521728516
aleatorio,23,10,"[6, 8, 1, 2, 0, 7, 4, 1, 3, 9]",2,101,0.0015347003936767578
aleatorio,24,10,"[0, 3, 5, 5, 1, 4, 1, 3, 9, 2]",5,101,0.0014948844909667969
aleatorio,25,10,"[6, 5, 3, 2, 9, 7, 1, 1, 6, 9]",5,101,0.0015399456024169922
aleatorio,26,10,"[0, 6, 3, 5, 9, 1, 8, 5, 1, 6]",5,101,0.0014843940734863281
aleatorio,27,10,"[6, 6, 0, 7, 5, 0, 7, 4, 2, 9]",5,101,0.0015263557434082031
aleatorio,28,10,"[7, 7, 1, 2, 8, 8, 4, 4, 1, 9]",5,101,0.001499176025390625
aleatorio,29,10,"[2, 5, 4, 8, 1, 4, 9, 0, 3, 7]",4,101,0.0015156269073486328

HC,0,4,"[3, 3, 0, 2]",1,10,3.4332275390625e-05
HC,1,4,"[1, 0, 2, 0]",2,10,2.3603439331054688e-05
HC,2,4,"[1, 3, 0, 2]",0,28,5.054473876953125e-05
HC,3,4,"[1, 3, 2, 0]",1,32,5.221366882324219e-05
HC,4,4,"[1, 2, 0, 3]",1,12,2.0265579223632812e-05
HC,5,4,"[2, 2, 0, 3]",2,10,1.7881393432617188e-05
HC,6,4,"[1, 3, 2, 0]",1,22,3.5762786865234375e-05
HC,7,4,"[2, 1, 3, 0]",1,12,2.0503997802734375e-05
HC,8,4,"[2, 2, 3, 1]",2,20,3.24249267578125e-05
HC,9,4,"[3, 0, 2, 1]",1,22,3.457069396972656e-05
HC,10,4,"[0, 3, 3, 0]",2,8,1.430511474609375e-05
HC,11,4,"[3, 3, 3, 1]",4,6,1.2159347534179688e-05
HC,12,4,"[3, 0, 2, 1]",1,22,3.2901763916015625e-05
HC,13,4,"[2, 2, 1, 1]",3,8,1.5020370483398438e-05
HC,14,4,"[3, 1, 0, 2]",1,32,5.0067901611328125e-05
HC,15,4,"[2, 0, 3, 1]",0,30,4.7206878662109375e-05
HC,16,4,"[1, 3, 0, 2]",0,30,4.601478576660156e-05
HC,17,4,"[3, 0, 2, 1]",1,28,4.363059997558594e-05
HC,18,4,"[2, 0, 3, 1]",0,34,5.1975250244140625e-05
HC,19,4,"[2, 0, 1, 3]",1,22,3.504753112792969e-05
HC,20,4,"[1, 2, 0, 2]",2,10,1.7642974853515625e-05
HC,21,4,"[1, 3, 0, 2]",0,22,3.337860107421875e-05
HC,22,4,"[1, 2, 0, 3]",1,22,3.4809112548828125e-05
HC,23,4,"[1, 3, 0, 2]",0,30,4.553794860839844e-05
HC,24,4,"[2, 0, 1, 1]",2,26,4.100799560546875e-05
HC,25,4,"[3, 3, 0, 2]",1,32,4.863739013671875e-05
HC,26,4,"[2, 1, 3, 0]",1,22,3.552436828613281e-05
HC,27,4,"[3, 0, 2, 1]",1,22,3.814697265625e-05
HC,28,4,"[2, 0, 1, 1]",2,24,4.076957702636719e-05
HC,29,4,"[1, 3, 2, 0]",1,30,4.57763671875e-05
HC,0,8,"[6, 3, 5, 2, 1, 6, 4, 7]",2,256,0.0009317398071289062
HC,1,8,"[5, 2, 4, 1, 7, 0, 3, 6]",1,264,0.0009589195251464844
HC,2,8,"[0, 6, 1, 5, 2, 4, 7, 3]",1,162,0.0005779266357421875
HC,3,8,"[6, 3, 5, 7, 2, 0, 7, 4]",2,216,0.000766754150390625
HC,4,8,"[2, 5, 3, 6, 0, 2, 4, 1]",1,306,0.0010662078857421875
HC,5,8,"[4, 5, 0, 6, 3, 7, 2, 1]",2,164,0.0005865097045898438
HC,6,8,"[1, 7, 4, 6, 0, 2, 5, 5]",1,160,0.0005645751953125
HC,7,8,"[2, 2, 6, 6, 1, 1, 5, 0]",3,150,0.0005207061767578125
